Move number,White Moves,Black Moves
1,e3,e5
2,Nf3,e4
3,Nd4,c5
4,Nb5,a6
5,Nd6+,Bxd6
6,d3,exd3
7,cxd3,Nf6
8,Nc3,b5
9,f3,b4
10,Na4,O-O
11,f4,Bc7
12,Qf3,d5
13,e4,dxe4
14,dxe4,Bb7
15,Bc4,Bxe4
16,Qe2,Re8
17,Nxc5,Bxg2
18,Rg1,Rxe2+
19,Bxe2,Bc6
20,Be3,b3
21,Rd1,Ba5+
22,Kf2,Qc8
23,Rd7,Ne4+
24,Kf3,Nxc5+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d5
2,exd5,Qxd5
3,Nc3,Qd7
4,Nf3,Nc6
5,d4,Nf6
6,Bd3,Nb4
7,h3,Nfd5
8,O-O,Nxc3
9,bxc3,Nxd3
10,Qxd3,Qa4
11,Ne5,Bf5
12,Qxf5,f6
13,Bg5,fxg5
14,Qf7+,Kd8
15,Qf5,e6
16,Qxe6,Qxc2
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e5
2,d4,d6
3,Nf3,Qf6
4,c3,Nc6
5,Qc2,exd4
6,Nxd4,Nxd4
7,cxd4,Qxd4
8,Be3,Qb4+
9,Qd2,Qxe4
10,Bd3,Qxg2
11,Rf1,Qxh2
12,Nc3,Qe5
13,f4,Qe7
14,Ne4,g5
15,fxg5,f6
16,gxf6,Qe5
17,Bg5,Qg3+
18,Nxg3,Bh6
19,Nf5,Nxf6
20,Bxf6,Bxf5
21,Qxh6,Rg8
22,Qxh7,Bxh7
23,Bxh7,Rg2
24,Rd1,Kf7
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,b3,d5
2,Bb2,e5
3,g3,f5
4,Bg2,e4
5,c4,c6
6,Nc3,a6
7,d3,b5
8,dxe4,fxe4
9,Bxe4,dxe4
10,Qxd8+,Kxd8
11,O-O-O+,Bd7
12,Nxe4,Nf6
13,Nxf6,gxf6
14,Bxf6+,Be7
15,Bxh8,Bg5+
16,f4,Bh6
17,Nf3,c5
18,Bf6+,Kc8
19,Ne5,Nc6
20,Nf7,bxc4
21,Nxh6,c3
22,Bxc3,Kc7
23,e4,Rd8
24,Nf7,Rf8
25,Be5+,Kb6
26,Rxd7,Nb4
27,Bc7+,Kb5
28,a4+,Kc6
29,Ne5+,Kb7
30,Bd6+,Kc8
31,Bxf8,Na2+
32,Kb1,Nc3+
33,Kc2,Nxe4
34,Rhd1,Nf6
35,Rd8+,Kc7
36,Bxc5,Ng4
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,d5
2,Nc3,c6
3,d4,e6
4,Nf3,f5
5,Bg5,Be7
6,Nxd5,Bxg5
7,Nb4,Bf6
8,d5,exd5
9,exd5,Qe7+
10,Kd2,Qxb4+
11,c3,Qf4+
12,Kd3,Qe4+
13,Kd2,Qf4+
14,Kc2,Qe4+
15,Bd3,Qg4
16,Re1+,Ne7
17,Ne5,Bxe5
18,Rxe5,Qxg2
19,Rxf5,Nxf5
20,Qh5+,g6
21,Rg1,Qxf2+
22,Be2,Qxg1
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Nc3,Nc6
2,Nf3,e5
3,e3,d5
4,d4,e4
5,Ng5,Qxg5
6,Nxe4,dxe4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,d5
2,Nh3,e5
3,Qh5,Bd6
4,Ng5,Qf6
5,h4,g6
6,Qf3,c6
7,b3,h6
8,Nh3,e4
9,Qxf6,Nxf6
10,g4,Bxg4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Bc4,Qh4
3,Nf3,Qxe4+
4,Qe2,Qxe2+
5,Bxe2,e4
6,Ne5,d6
7,Nc4,Bf5
8,O-O,d5
9,Na5,b6
10,Nb7,Nc6
11,Bb5,Bd7
12,b3,Rb8
13,Ba6,Bc8
14,Nc3,Bxb7
15,Bb5,Rd8
16,Bb2,Nf6
17,d3,Bb4
18,Ne2,O-O
19,c3,Bd6
20,c4,exd3
21,Nc3,dxc4
22,Bxc4,Be5
23,Rae1,Ng4
24,Re4,Nxh2
25,f4,Nxf1
26,Kxf1,Bxc3
27,Bxc3,d2
28,Bxd2,Rxd2
29,f5,Na5
30,Re7,Nxc4
31,Rxc7,Bxg2+
32,Ke1,Re8+
33,Re7,Rxe7#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,c5
2,Nc3,Nf6
3,d4,b6
4,Nf3,Bb7
5,a3,Nxe4
6,Nxe4,Bxe4
7,Nd2,Nc6
8,Nxe4,Nxd4
9,Be3,e5
10,c3,d5
11,Ng3,g5
12,cxd4,cxd4
13,Bc1,Bg7
14,Bd2,O-O
15,Qc1,h6
16,h4,Bf6
17,hxg5,Bxg5
18,Rh5,Bxd2+
19,Kxd2,Qd6
20,Ke1,Rac8
21,Qd1,f6
22,Qg4+,Kf7
23,Nf5,Qe6
24,Nxh6+,Ke7
25,Qg7+,Kd6
26,Ba6,Rg8
27,Qb7,Qd7
28,Nf5+,Ke6
29,a4,Qxb7
30,Bxb7,Rc7
31,Ba6,Rg5
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,Nf6
2,Qf3,e5
3,d3,Bb4+
4,Nc3,Ba5
5,a3,d6
6,b4,Bb6
7,Be2,g5
8,Qg3,Nh5
9,Bxh5,a5
10,b5,Bd4
11,Bb2,Bd7
12,Nf3,c6
13,bxc6,Bxc6
14,Nxg5,Rf8
15,Nxh7,Rh8
16,Qg7,Ke7
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e5
2,d3,d5
3,c4,dxc4
4,dxc4,Bb4+
5,Bd2,Qd4
6,Bxb4,Qxb2
7,Nd2,Qxb4
8,Rb1,Qc3
9,c5,Nf6
10,Qa4+,c6
11,Nf3,O-O
12,Nxe5,Qxe5
13,Nc4,Qxe4+
14,Be2,Qxb1+
15,Kd2,Qxh1
16,Nd6,Rd8
17,Qf4,Nbd7
18,Nf5,g6
19,Bc4,Nd5
20,Nh6+,Kf8
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,b3,e5
2,e3,d5
3,Bb5+,c6
4,Bd3,e4
5,Bf1,Bg4
6,Qxg4,Nf6
7,Qf4,Bd6
8,Qg5,O-O
9,Bb2,Nbd7
10,Bxf6,Nxf6
11,f4,exf3
12,gxf3,Be7
13,e4,dxe4
14,fxe4,Nxe4
15,Qf4,Re8
16,Qxe4,Bh4+
17,Ke2,Rxe4+
18,Kf3,Re1
19,Bc4,Qf6+
20,Kg4,Qg5+
21,Kf3,Qf5+
22,Kg2,Qf2+
23,Kh3,Bf6
24,Ne2,Rxh1
25,c3,Rxh2+
26,Kg4,h5#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,c5
2,c4,g6
3,b3,Bg7
4,d4,cxd4
5,Bb2,Nc6
6,Ne2,Qa5+
7,Nd2,Nf6
8,Qb1,d6
9,Qc2,O-O
10,O-O-O,Qxa2
11,Nf4,Nb4
12,Qb1,Qa6
13,Bxd4,b5
14,cxb5,Qxb5
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d3,e5
2,e4,Qf6
3,c3,h6
4,Nd2,Bc5
5,Ndf3,Ne7
6,d4,exd4
7,cxd4,Bb6
8,e5,Qe6
9,d5,Qg6
10,Bb5,Nf5
11,d6,c6
12,e6,cxb5
13,exd7+,Bxd7
14,Ne5,Qxd6
15,Nxd7,Nxd7
16,Qe2+,Qe7
17,Be3,Bxe3
18,fxe3,Qxe3
19,Nf3,Qxe2+
20,Kxe2,O-O
21,Rad1,Rfe8+
22,Kf2,Ne5
23,Rhe1,Nxf3
24,Rxe8+,Rxe8
25,gxf3,Kh7
26,Rd7,Re7
27,Rd8,Ne3
28,Ra8,Nc4
29,Rxa7,Nxb2
30,Ra5,Nd1+
31,Kg3,Nc3
32,a3,g6
33,h4,f5
34,f4,h5
35,Ra6,Ne2+
36,Kf3,Ng1+
37,Kg2,Ne2
38,Kf2,Nd4
39,Kf1,Nc6
40,Ra8,Re4
41,Rf8,Rxf4+
42,Kg2,b4
43,a4,b3
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,b3,d5
2,e3,e5
3,Bb5+,c6
4,Bf1,Bf5
5,Nf3,Bd6
6,Ng5,h6
7,f4,hxg5
8,fxg5,Qxg5
9,Bd3,e4
10,Be2,Qxg2
11,Rf1,Rxh2
12,d3,Bg3+
13,Kd2,exd3
14,cxd3,Bg4
15,e4,Bxe2
16,Rg1,Bxd1+
17,Kxd1,Qxg1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,b3,e5
2,e3,d5
3,g3,d4
4,Bb5+,c6
5,Bc4,b5
6,Bxf7+,Kxf7
7,Qf3+,Nf6
8,Qh5+,g6
9,Qxe5,Bg4
10,f3,Bf5
11,f4,Be4
12,h4,Bxh1
13,c4,c5
14,cxb5,Nbd7
15,Qg5,dxe3
16,d3,c4
17,f5,Bb4+
18,Bd2,Bxd2+
19,Ke2,Ne4
20,fxg6+,hxg6
21,Qf4+,Ndf6
22,bxc4,Qxd3+
23,Kxd3,Rhd8+
24,Ke2,Rac8
25,a4,Rxc4
26,Nh3,g5
27,Nxg5+,Ke7
28,Qe5+,Kd7
29,Nf7,Kc8
30,Na3,Rd6
31,Qf5+,Nd7
32,Rxh1,Nxg3+
33,Kf3,Nxf5
34,Nxc4,Rd4
35,Rc1,Bxc1
36,h5,Ne5+
37,Ncxe5,Rh4
38,h6,Nxh6
39,b6,axb6
40,Nc6,Nxf7
41,Ne7+,Kd7
42,Nd5,Ne5+
43,Kg3,Rg4+
44,Kh3,e2
45,Nxb6+,Kc6
46,Nc8,e1=Q
47,Ne7+,Kb6
48,Nd5+,Kc5
49,Nc7,Qh4#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,e5
2,b3,d5
3,g3,f5
4,Bg2,Nf6
5,Bb2,Be7
6,Bxe5,O-O
7,Bxf6,Bxf6
8,Bxd5+,Kh8
9,c4,Bxa1
10,Na3,c6
11,Qxa1,cxd5
12,c5,d4
13,exd4,Qd5
14,Nc4,Qxh1
15,d5,Qxg1+
16,Ke2,Qxa1
17,Nd6,Qe5+
18,Kd3,Qxd5+
19,Kc3,Qxc5+
20,Kb2,Qxd6
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d3,e5
2,e4,d5
3,c3,d4
4,Qa4+,c6
5,Qc4,b5
6,Qc5,Bxc5
7,Bg5,Qxg5
8,Nd2,dxc3
9,f4,Qxf4
10,Ne2,Bf2+
11,Kd1,Qxd2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Nf3,d6
2,Nc3,Na6
3,d4,f6
4,e4,Nb4
5,a3,Nc6
6,h4,e6
7,g3,h6
8,Bb5,g5
9,Be3,Bd7
10,hxg5,fxg5
11,Nxg5,Be7
12,Nf3,Bf8
13,a4,Qf6
14,g4,Nge7
15,g5,Qg6
16,gxh6,Rxh6
17,Rxh6,Bxh6
18,Bxh6,Qxh6
19,d5,exd5
20,exd5,Na5
21,Bxd7+,Kxd7
22,Qd2,Qf6
23,Qd4,Qh6
24,b4,Qh1+
25,Ke2,Qxa1
26,bxa5,Rf8
27,Qxa7,Qh1
28,Qxb7,Rxf3
29,Nb5,Qh3
30,Nxc7,Kd8
31,Ne6+,Qxe6+
32,Kxf3,Qxd5+
33,Ke3,Qxb7
34,Kf4,Qa7
35,c3,Qxa5
36,Ke3,Qxa4
37,Kd3,Nf5
38,f3,Nh4
39,f4,Qxf4
40,c4,Nf5
41,Kc3,Ne7
42,Kb4,Nc6+
43,Kb5,Ne7
44,c5,d5
45,Kb6,d4
46,Kb7,Ke8
47,c6,Nxc6
48,Kxc6,d3
49,Kc5,d2
50,Kd5,d1=Q+
51,Ke6,Qf7+
52,Ke5,Qa4
53,Kd6,Qa6+
54,Ke5,Qh5+
55,Kd4,Qa4+
56,Ke3,Qh3+
57,Kd2,Qa2+
58,Ke1,Qh1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,d5
3,Bb5+,Bd7
4,Nxe5,Na6
5,Bd3,Bd6
6,f4,Nc5
7,b4,Nxd3+
8,cxd3,Qf6
9,Bb2,Ne7
10,Ng4,Bxg4
11,Bxf6,gxf6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,a4,Nc6
2,b3,a6
3,c4,b5
4,d3,bxc4
5,bxc4,e6
6,Nc3,d5
7,Qc2,dxc4
8,d4,Nb4
9,Qb1,Rb8
10,Ra3,Qxd4
11,e3,Qe5
12,Nf3,Qf5
13,Bd3,Qf6
14,Be4,Nd3+
15,Qxd3,Rb1
16,Qxb1,Bxa3
17,Bxa3,g5
18,Bc6+,Bd7
19,Qb8+,Qd8
20,Qb4,Bxc6
21,Ne5,Bxg2
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e5
2,Qh5,Nc6
