Move number,White Moves,Black Moves
3,Bb5,Qe7
4,Bxc6,dxc6
5,Nf3,Nf6
6,Qh4,Qc5
7,d3,Qb4+
8,Nc3,Be7
9,a3,Qb6
10,Nxe5,O-O
11,Bg5,h6
12,Bxf6,Bxf6
13,Qg3,Qxb2
14,O-O,Qxc3
15,Nc4,Qxc2
16,Qxc7,Bxa1
17,Rxa1,Qxd3
18,Ne5,Qd4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,g6
2,e5,Bg7
3,Nf3,Nc6
4,Nc3,Bxe5
5,Nxe5,Nxe5
6,d4,Nc6
7,Bd3,Nf6
8,h3,Nxd4
9,Kf1,O-O
10,Be3,Nc6
11,Bb5,Ne5
12,Bg5,c6
13,Bd3,Nd5
14,Be3,Nxc3
15,bxc3,Nxd3
16,cxd3,e6
17,Qb3,Qf6
18,f3,Qf5
19,Bd2,Qxd3+
20,Kg1,Qxd2
21,Rd1,Qe3+
22,Kh2,d5
23,Qc2,e5
24,Rhe1,Qf4+
25,Kg1,Bf5
26,Qf2,Rfe8
27,Re3,Re7
28,Rde1,Rae8
29,Qg3,Qxg3
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,d4,e5
2,Nf3,Nc6
3,Bg5,f6
4,Bh4,g5
5,Bg3,d6
6,Qd3,Nh6
7,h3,Bf5
8,e4,Nb4
9,Qb5+,c6
10,Qxb4,Bxe4
11,d5,Bxd5
12,Nfd2,g4
13,hxg4,Nxg4
14,Qxg4,Qa5
15,Qh5+,Bf7
16,Qe2,h5
17,Nc3,d5
18,O-O-O,d4
19,Nb5,cxb5
20,Nf3,Bh6+
21,Kb1,Qxa2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,e5
2,d4,d6
3,dxe5,dxe5
4,Qxd8+,Kxd8
5,h3,Bd6
6,Nf3,Bf5
7,Na3,Nf6
8,Bd3,Be6
9,Ng5,Ke7
10,Nb5,Nbd7
11,O-O,h6
12,Ne4,Nxe4
13,Bxe4,f5
14,Bxb7,Rab8
15,Bc6,Nc5
16,a4,a6
17,Na7,Rb6
18,Bf3,e4
19,Bh5,Ra8
20,a5,Rb4
21,Nc6+,Kf6
22,Nxb4,Nd7
23,Nc6,Ne5
24,f4,Nxc6
25,g4,fxg4
26,hxg4,g6
27,g5+,hxg5
28,fxg5+,Kxg5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,e5
2,h3,Nc6
3,a3,f5
4,c3,d6
5,g3,Nf6
6,Bg2,Be6
7,h4,d5
8,Nh3,Bd6
9,d3,O-O
10,f3,Qd7
11,Bd2,e4
12,Qe2,Bxg3+
13,Kf1,exd3
14,Qxd3,Ne5
15,Qe2,d4
16,exd4,Bc4
17,Kg1,Bxe2
18,f4,Neg4
19,Bxb7,Rab8
20,Bd5+,Qxd5
21,Be3,Nxe3
22,h5,Qg2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,Nc6
3,Nc3,g6
4,d4,exd4
5,Bd3,dxc3
6,bxc3,d5
7,O-O,dxe4
8,Bxe4,Qxd1
9,Rxd1,Nf6
10,Re1,Nxe4
11,Bf4,f5
12,Rad1,Be6
13,Ne5,Bc5
14,Kf1,Nxe5
15,Bxe5,Bc4+
16,Kg1,Bxf2+
17,Kh1,Bxe1
18,Rxe1,O-O
19,g4,Rfe8
20,Bxc7,Ng3+
21,hxg3,Rxe1+
22,Kg2,Rc8
23,Bf4,fxg4
24,Bh6,Rd8
25,a4,Re2+
26,Kf1,Rd1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,e5
2,d4,exd4
3,exd4,d5
4,c3,Nf6
5,Qe2+,Be7
6,Nf3,c5
7,Ne5,O-O
8,a3,Re8
9,a4,Nc6
10,Bf4,cxd4
11,Nxc6,bxc6
12,cxd4,Bb4+
13,Nd2,Rxe2+
14,Bxe2,Ne4
15,O-O-O,Nxd2
16,Rxd2,Bxd2+
17,Kxd2,Qa5+
18,Kd1,Qxa4+
19,Kd2,Qxd4+
20,Ke1,Qxf4
21,b3,Bf5
22,b4,Re8
23,f3,Qxb4+
24,Kf2,Qb2
25,Re1,Bd3
26,Kg3,Rxe2
27,Kg4,Rxe1
28,g3,Qxh2
29,Kf4,Rg1
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e6
2,Nf3,Bd6
3,h4,Nf6
4,Ng5,Kf8
5,a3,Qe7
6,b4,h6
7,Nf3,Nxe4
8,d3,Nf6
9,Bb2,Ng4
10,Nc3,Be5
11,d4,Bf6
12,Ne5,Bxe5
13,Qxg4,Bf6
14,Ne4,Bxh4
15,Rxh4,g5
16,Nxg5,f5
17,Qh5,Qg7
18,Nf3,b6
19,g4,f4
20,Bg2,Bb7
21,O-O-O,d5
22,Ne5,Nd7
23,Ng6+,Kg8
24,c4,Nf6
25,Nxh8,Nxh5
26,gxh5,Qxh8
27,cxd5,exd5
28,Rxf4,Rf8
29,Rg4+,Kf7
30,Rf4+,Ke8
31,Rxf8+,Qxf8
32,Rf1,Qf4+
33,Kd1,Bc8
34,Be4,Bg4+
35,f3,Qh2
36,Kc1,Bh3
37,Re1,dxe4
38,Rxe4+,Kd8
39,d5,Qh1+
40,Kc2,Bf5
41,Bf6+,Kc8
42,a4,Qg2+
43,Kd3,Qxf3+
44,Kd4,Qxe4+
45,Kc3,Qxd5
46,a5,Qc6+
47,Kb3,Bc2+
48,Ka3,Qxf6
49,axb6,Qa1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,Bg5,f6
3,Bh4,g5
4,Bg3,Bg7
5,e4,dxe4
6,Qh5+,Kf8
7,Bc4,Qxd4
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e6
2,Bc4,Nf6
3,e5,Nd5
4,Bxd5,exd5
5,Nf3,Be7
6,O-O,O-O
7,h4,b6
8,d4,Ba6
9,Re1,Nc6
10,Ng5,Bxg5
11,hxg5,g6
12,c3,d6
13,e6,Re8
14,exf7+,Kxf7
15,Rxe8,Qxe8
16,Nd2,Kg8
17,b3,Qf7
18,c4,Nb4
19,cxd5,Rf8
20,Ne4,Bd3
21,f3,Bxe4
22,fxe4,Qe7
23,Qe1,Nxd5
24,Ba3,c5
25,exd5,Qxe1+
26,Rxe1,Rf4
27,dxc5,dxc5
28,b4,cxb4
29,Bb2,Rd4
30,Bxd4,a5
31,Bxb6,a4
32,d6,b3
33,axb3,axb3
34,d7,Kf8
35,d8=Q+,Kg7
36,Bd4+,Kf7
37,Qd7+,Kg8
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e6
2,Bc4,a6
3,f4,d6
4,f5,e5
5,Qh5,Qe7
6,Nh3,Nf6
7,Qh4,Bd7
8,Ng5,d5
9,Bb3,Bc6
10,exd5,Bxd5
11,Bxd5,Nxd5
12,Qh5,g6
13,fxg6,fxg6
14,Qg4,Bh6
15,d3,Nb4
16,O-O,Nxc2
17,Nf7,Bxc1
18,Nxh8,Be3+
19,Kh1,Nxa1
20,h4,h5
21,Qa4+,Nc6
22,Nxg6,Qg7
23,Rf7,Qxf7
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,f6
2,Nf3,e6
3,Bc4,d5
4,exd5,exd5
5,Bb3,f5
6,Ng5,Qxg5
7,d3,Bc5
8,Bxg5,h6
9,Bf4,Nd7
10,h3,g5
11,Be3,f4
12,Bxc5,Nxc5
13,Bxd5,Nf6
14,c4,Kf8
15,O-O,c6
16,d4,Na4
17,Bf3,Nb6
18,b3,Bf5
19,d5,Rd8
20,Qe1,g4
21,Qe5,Kf7
22,hxg4,Rde8
23,Qc7+,Kf8
24,gxf5,Re7
25,Qd6,Kf7
26,dxc6,bxc6
27,Bxc6,Rg8
28,Nc3,Nh5
29,Nd5,Nxd5
30,Bxd5+,Re6
31,Bxe6+,Kg7
32,Rae1,Rf8
33,Qe5+,Nf6
34,Qd6,h5
35,Bd5,h4
36,Re2,Ng4
37,Re7+,Kh8
38,Qe5+,Nf6
39,Re1,a5
40,Qxf4,Ng8
41,Qxh4+,Nh6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e6
2,d4,d6
3,Bd3,h6
4,Be3,a6
5,Nc3,Be7
6,f3,g5
7,g3,Nd7
8,a3,Nb6
9,b4,d5
10,e5,Nc4
11,Bxc4,dxc4
12,Nge2,b5
13,Ne4,Bb7
14,Ne4c3,Bxf3
15,O-O,g4
16,h3,Bxe2
17,Qxe2,Qd7
18,Qxg4,Bg5
19,Qh5,Bxe3+
20,Kg2,O-O-O
21,Rfe1,Bxd4
22,Rad1,Qc6+
23,Kh2,Bxc3
24,Rxd8+,Kxd8
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d6
2,Nf3,e6
3,e5,f6
4,d4,fxe5
5,dxe5,dxe5
6,Nxe5,Qxd1+
7,Kxd1,b6
8,Be2,Bb7
9,Re1,Bd6
10,f4,Bxe5
11,fxe5,Nc6
12,Bf4,Rd8+
13,Nd2,Nd4
14,Bh5+,g6
15,Bg4,Bxg2
16,c3,Nb5
17,Bxe6,Ne7
18,Bg5,h6
19,Bxe7,Kxe7
20,Bc4,Bc6
21,Kc2,g5
22,e6,Rhf8
23,Bxb5,Bxb5
24,c4,Ba4+
25,b3,Bc6
26,a4,Rf2
27,Rad1,g4
28,b4,Bxa4+
29,Kc1,Bxd1
30,Kxd1,Rfxd2+
31,Kc1,Rxh2
32,c5,bxc5
33,bxc5,g3
34,c6,g2
35,Kb1,Rf8
36,Kc1,Rg8
37,Re2,g1=Q+
38,Kd2,Rxe2+
39,Kxe2,Qh2+
40,Kd3,Rg4
41,Kc3,Qh3+
42,Kb2,Rg2+
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e3,e5
2,d4,e4
3,Bb5,a6
4,Ba4,b5
5,Bb3,c5
6,Bd5,Ra7
7,Bxe4,c4
8,Na3,Bb7
9,Bf3,d5
10,Nh3,f6
11,Nf4,Bxa3
12,bxa3,Qe7
13,Bxd5,Bxd5
14,Nxd5,Qe4
15,Nc7+,Rxc7
16,f3,Qg6
17,d5,Qxg2
18,Rf1,Qxh2
19,e4,Qg3+
20,Rf2,Rd7
21,Qd4,Qe5
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d5
2,Nc3,dxe4
3,Nxe4,Bf5
4,Nc5,Qd5
5,Bb5+,Nd7
6,c4,Qxc5
7,d3,a6
8,Qf3,axb5
9,Qxb7,Rb8
10,d4,Qxc4
11,b3,Qc3+
12,Bd2,Qxa1+
13,Ke2,Bg4+
14,f3,Be6
15,Qe4,Qxa2
16,Nh3,Qxb3
17,Ba5,Bc4+
18,Kf2,Ngf6
19,Bxc7,Nxe4+
20,fxe4,Ra8
21,Re1,Ra2+
22,Re2,Rxe2+
23,Kf1,Qb1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Qf3,Nf6
3,Ne2,d5
4,g4,Nc6
5,Bh3,dxe4
6,Qe3,Be7
7,O-O,O-O
8,f4,exf3
9,Rxf3,Nxg4
10,Bxg4,Bxg4
11,Rg3,Qd7
12,Nf4,exf4
13,Qxf4,Bc5+
14,d4,Bxd4+
15,Be3,Bxb2
16,Nc3,Bxa1
17,Nd5,Qxd5
18,Rxg4,Qd1+
19,Qf1,Qxg4+
20,Kf2,Nd4
21,c3,Bxc3
22,Bxd4,Bxd4+
23,Ke1,Bc3+
24,Kf2,Rae8
25,Qd3,Bd4+
26,Kf1,Qg1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,Nc3,c6
2,Nf3,f6
3,d4,e6
4,e4,Bb4
5,Bd2,Nh6
6,Bd3,O-O
7,h4,d5
8,h5,dxe4
9,Nxe4,Bxd2+
10,Qxd2,Qb6
11,Nxf6+,Rxf6
12,Ng5,Qxb2
13,Bxh7+,Kf8
14,O-O,e5
15,dxe5,Qxe5
16,Qd8+,Qe8
17,Rad1,Bg4
18,Rd4,Bxh5
19,g4,Bg6
20,Qxf6+,Nf7
21,Bxg6,c5
22,Rd8,gxf6
23,Rxe8+,Kxe8
24,Re1+,Kf8
25,Bxf7,Nd7
26,Re8+,Rxe8
27,Nh7+,Kxf7
28,Nxf6,Nxf6
29,f4,Nxg4
30,f5,Re2
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,Nc6
3,c4,Nf6
4,Nc3,Bc5
5,Qe2,O-O
6,Qd3,Bxf2+
7,Kxf2,Ng4+
8,Kg1,d6
9,Nd5,Nd4
10,Nxe5,Nxe5
11,Qxd4,Nf3+
12,gxf3,Qg5+
13,Bg2,Bh3
14,d3,Qxg2#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Bc4,Bd6
3,Qf3,Nf6
4,d4,Nc6
5,Bh6,Nb4
6,Bxg7,Rg8
7,Bxf6,Be7
8,Bxe5,Nxc2+
9,Kd2,Nxa1
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,Nf3,d5
2,Nd4,e5
3,Nb5,c6
4,Nb5a3,Bxa3
5,bxa3,Nf6
6,Nc3,Bf5
7,Bb2,Nbd7
8,d3,Qb6
9,Qd2,Qxb2
10,Rd1,Qxa3
11,Nb1,Qc5
12,Qc3,Qb6
13,Qb3,Qc7
14,g3,O-O
15,Nc3,e4
16,dxe4,Nxe4
17,Nxe4,Bxe4
18,Rg1,Nc5
19,Qf3,Bxf3
20,exf3,Qa5+
21,Rd2,Rfe8+
22,Be2,Qxa2
23,c3,Qa1+
24,Rd1,Qxc3+
25,Rd2,Nd3+
26,Kd1,Nb2+
27,Rxb2,Qxb2
28,Re1,a5
29,Bd3,a4
30,Re2,Rxe2
31,Bxe2,a3
32,h4,a2
33,Ke1,a1=Q+
34,Bd1,Re8+
35,Kf1,Qxd1+
36,Kg2,Re2
37,h5,Rxf2+
38,Kh3,Qh1+
39,Kg4,Qxf3+
40,Kh4,Rh2+
41,Kg5,h6#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Nf3,d5
3,d3,dxe4
4,dxe4,Qxd1+
5,Kxd1,Bg4
6,h3,Bh5
7,g4,Bg6
8,Nxe5,Bxe4
9,f3,Bc6
10,Nxc6,Nxc6
11,Bb5,O-O-O+
12,Bd2,Nge7
13,Bxc6,Nxc6
14,Ke2,Bb4
15,Rd1,Rhe8+
16,Be3,Rxd1
17,Kxd1,Rxe3
18,Nd2,Bxd2
19,Kxd2,Rxf3
20,Re1,Rxh3
21,Re8+,Kd7
22,Re4,Rh2+
23,Kd3,Rh3+
24,Kc4,Rh2
25,Kb5,a6+
26,Kc5,b6+
27,Kd5,Rd2+
