Move number,White Moves,Black Moves
9,Bb2,d4
10,Ne4,O-O
11,Nxf6+,gxf6
12,Qg3+,Kh8
13,c3,Rg8
14,Qf3,Qe8+
15,Qe2,d3
16,Qxe8,Rgxe8+
17,Kd1,Bc5
18,Re1,Kg8
19,Rxe8+,Rxe8
20,Nf4,Bd6
21,Nxd3,Bxh2
22,g4,Nd5
23,Kc2,b5
24,f3,Rb8
25,f4,b4
26,cxb4,Nxb4+
27,Kc3,Nxd3
28,Kxd3,Rxb2
29,Rh1,Bxf4
30,Kc3,Be5+
31,Kd3,Rxa2
32,Rc1,Bf4
33,Rc2,Rxc2
34,Kxc2,h5
35,gxh5,Kh8
36,Kd3,f5
37,Kc3,Be5+
38,Kd3,f4
39,Ke4,f6
40,Kf5,f3
41,Kg6,f2
42,h6,f1=Q
43,h7,Qg1+
44,Kh6,Qh2+
45,Kg6,Qh4
46,d3,Qg5+
47,Kf7,Kxh7
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,d6
2,d4,f5
3,Bc4,fxe4
4,Qh5+,g6
5,Qg5,Nf6
6,f3,exf3
7,gxf3,Bg7
8,Qf4,Bf5
9,Ne2,Bxc2
10,Nd2,d5
11,Bb3,Bf5
12,Nc3,c6
13,Qe5,Nh5
14,Qf6,Bxf6
15,f4,Nxf4
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,e6
2,Nc3,Qh4
3,Nf3,Qg4
4,e4,Nc6
5,h3,Qh5
6,g4,Qg6
7,Ne5,Qf6
8,Rh2,d5
9,h4,Bb4
10,g5,Qe7
11,Qf3,Nxd4
12,Qxf7+,Qxf7
13,Nxf7,Kxf7
14,Kd1,Nf3
15,Rh3,Ng1
16,Rg3,h6
17,Rxg1,hxg5
18,Bxg5,e5
19,Nxd5,c6
20,Nxb4,a5
21,Bc4+,Be6
22,Bxe6+,Kxe6
23,Nd3,Rd8
24,Bxd8,a4
25,Nc5+,Kd6
26,b4,Nf6
27,Nxb7+,Ke6
28,Nc5+,Kd6
29,Nb7+,Kd7
30,Rxg7+,Kc8
31,Rc7+,Kb8
32,Rc8+,Kxb7
33,Bxf6,Rxc8
34,Bxe5,Rd8+
35,Ke2,Re8
36,f4,Kb6
37,Rd1,Rg8
38,h5,Kb5
39,h6,Rg2+
40,Kd3,Rg3+
41,Kd4,Rh3
42,Bg7,Kxb4
43,f5,c5+
44,Kd5,c4
45,f6,Kc3
46,Rc1,Rh2
47,f7+,Kd2
48,f8=Q,Kxc1
49,a3,c3
50,Be5,Rh3
51,Qg7,Kxc2
52,h7,Rd3+
53,Kc4,Rd8
54,h8=Q,Rd1
55,Qe8,Kb2
56,Qxa4,Rc1
57,Qg2+,Rc2
58,Qgxc2+,Ka1
59,Qxc3+,Ka2
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

